L	N	_	.	+	-	{	}	[	]	<	>	!	&	%	*	:	=	|	/	O
1	3	2	6	4	5	21	21	21	21	11	13	8	9	19	19	10	12	14	19	23
1	1	2	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
2	2	2	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
17	3	17	6	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
20	3	20	6	19	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
20	3	20	6	20	19	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
24	7	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24
17	7	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	19	24	24	24
24	24	24	24	24	24	24	24	24	24	24	24	24	19	24	24	24	24	24	24	24
20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	19	20	20	20	20
22	22	22	22	22	22	22	22	22	22	19	19	22	22	22	22	22	22	22	22	22
24	24	24	24	19	24	24	24	24	24	19	19	24	24	24	24	15	19	24	24	24
22	22	22	22	22	22	22	22	22	22	22	19	22	22	22	22	22	22	22	22	22
24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	19	24	24
24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	19	24	24	24
